"390_32_89_7_7_1049, 0.6633280108039404"
"146_6_46_1_10_634, 0.45849534545679477"
"201_40_13_17_15_684, 0.6198388157894736"
"5_27_84_25_11_957, 0.4467565308254964"
"520_30_131_23_4_733, 0.44344054115507053"
"128_48_93_29_15_1004, 0.502331756308101"
"136_0_163_27_12_532, 0.46434805764411025"
"253_1_34_36_9_501, 0.48260326406011506"
"345_8_63_19_11_1082, 0.48212215486934157"
"247_31_2_18_4_1050, 0.45601190476190484"
"469_35_78_32_16_955, 0.6871684118673648"
"144_28_30_33_16_1051, 0.46921963209641615"
"520_13_143_11_6_558, 0.6125248260594561"
"111_17_2_19_3_1025, 0.3717276422764228"
"225_30_23_20_16_722, 0.6035829870729456"
"190_5_56_20_7_851, 0.393293161447893"
"440_16_64_26_1_549, 0.33511539697846354"
"275_26_51_23_13_933, 0.5799970525187568"
"214_46_64_25_18_1079, 0.5096360827927093"
"159_23_7_15_12_1109, 0.5148116170724376"
"215_12_91_3_15_1075, 0.5053665070679435"
"432_28_109_29_19_629, 0.5150578961314255"
"475_10_118_14_8_1004, 0.6596067006483869"
"52_24_76_6_15_609, 0.5901904761904763"
"370_43_0_0_6_789, 0.6154740177439798"
"170_42_117_11_15_842, 0.7007518804433889"
"501_23_19_35_1_955, 0.519400087260035"
"193_39_144_6_0_721, 0.6101285251964864"
"490_22_120_22_17_983, 0.7051264835537471"
"8_13_60_1_2_705, 0.34394972882770136"
"150_34_10_17_3_720, 0.4931770833333334"
"326_10_102_35_11_1089, 0.4973776805488036"
"250_48_92_22_11_730, 0.664474885844749"
"403_19_6_16_18_893, 0.6924600597237776"
"6_25_114_35_13_704, 0.5100002367424242"
"134_7_116_18_20_942, 0.4490540776820283"
"432_24_41_31_14_675, 0.5284722222222222"
"149_4_108_0_12_948, 0.3931060436832962"
"129_22_140_34_2_501, 0.5829760479041917"
"359_42_8_14_7_760, 0.714451754385965"
"378_31_38_0_7_1067, 0.5409928147453922"
"397_17_139_34_7_692, 0.6423654865125242"
"416_24_33_32_14_540, 0.4311458333333334"
"180_47_140_27_18_788, 0.6286603214890016"
