,id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired
11143,2228459,323294,1292,34.2,,4.0,,,,,
11144,2228550,323294,2018,0.052,,4.0,,,,,
11145,2228502,323294,1300,0.028,8.0,1.0,0.027,0.03,0.028,,2015.0
11146,2228478,323294,1265,3.54,8.0,1.0,3.24,4.04,3.51,,2015.0
11147,2228480,323294,1267,0.059,8.0,1.0,0.036,0.083,0.062,,2015.0
11148,2228522,323294,1196,0.0,1.0,1.0,,,0.0,,2001.0
11149,2228498,323294,1127,0.0,8.0,1.0,0.0,0.0,0.0,,2015.0
11150,2228538,323294,1128,0.28,8.0,1.0,0.25,0.32,0.28,,2015.0
11151,2228523,323294,2009,0.0,8.0,1.0,0.0,0.0,0.0,,2015.0
11152,2228507,323294,1333,0.0,8.0,1.0,0.0,0.0,0.0,,2015.0
11153,2228511,323294,1093,256.0,13.0,1.0,55.0,552.0,187.0,,2001.0
11154,2228467,323294,1103,0.0,1.0,1.0,,,0.0,,2015.0
11155,2228457,323294,1276,0.0,8.0,1.0,0.0,0.0,0.0,,2015.0
11156,2228509,323294,1012,0.0,3.0,1.0,0.0,0.0,0.0,,2015.0
11157,2228500,323294,1258,4.56,,4.0,,,,,
11158,2228497,323294,1177,35.0,8.0,1.0,29.0,44.0,34.0,,2015.0
11159,2228520,323294,1199,0.0,1.0,1.0,,,0.0,,2001.0
11160,2228476,323294,1170,0.237,3.0,1.0,0.19,0.29,0.23,,2001.0
11161,2228475,323294,1167,3.1,8.0,1.0,2.65,3.65,3.0,,2015.0
11162,2228487,323294,1101,2.02,13.0,1.0,1.67,2.29,2.07,,2001.0
11163,2228544,323294,1329,0.016,,4.0,,,,,
11164,2228481,323294,1008,620.0,,49.0,,,,,
11165,2228462,323294,1304,0.016,8.0,1.0,0.013,0.018,0.016,,2015.0
11166,2228472,323294,1260,0.0,8.0,1.0,0.0,0.0,0.0,,2015.0
11167,2228543,323294,1063,4.17,,4.0,,,,,
11168,2228533,323294,1406,0.0,8.0,1.0,0.0,0.0,0.0,,2015.0
11169,2228530,323294,1335,0.0,8.0,1.0,0.0,0.0,0.0,,2015.0
